,Random,GradientShap,InputXGradient,IntegratedGradients,Occlusion,Saliency,model_name,source,token_types
0,0.4415813640022719,0.5589816730547967,0.7283330465236756,0.5880482949843251,0.6129273164665081,0.704516992803694,bert-base-squad2,scientsbank,True
1,0.4183991743742958,0.5347982623765805,0.7316278039442484,0.5585943085573486,0.5913333774108895,0.7253134316204835,bert-large,scientsbank,True
2,0.4368676152979654,0.5998773027202988,0.7161608868974781,0.6586822100242488,0.6063117883734472,0.6926799487231895,bert-base,scientsbank,True
3,0.4549982649268199,0.5103528190086649,0.6841274784629304,0.5202369180863735,0.5990955203095906,0.6655301150278473,roberta-large,scientsbank,True
4,0.416226822836561,0.6206303588827905,0.7052416840121788,0.6496805570699916,0.5839046642444276,0.7068020878553591,albert-large,scientsbank,True
5,0.4530039155975827,0.6797168410911131,0.7235632227918091,0.6868184873712836,0.6009741053540909,0.6983016643353909,distilroberta,scientsbank,True
6,0.4281579530227155,0.6732214996320385,0.7504496784978982,0.7370246475418782,0.607071023303199,0.7309844587331431,roberta-base-squad2,scientsbank,True
7,0.398719906321512,0.6150273455874757,0.7119054953350474,0.6492101289075638,0.6106325251694839,0.6606777704834467,distilroberta-base-squad2,scientsbank,True
8,0.431611122361685,0.6763048177394144,0.7095175766542595,0.6987127743923316,0.564321932319421,0.7390204582356792,albert-base,scientsbank,True
9,0.4371408895222073,0.6988096268078035,0.6987635210403326,0.6987569623258143,0.5887478766016309,0.7067874515067532,albert-base-squad2,scientsbank,True
10,0.4347605743095869,0.5907490571423399,0.7049224545499063,0.6139198276495295,0.5801388808006107,0.6805027767897203,roberta-base,scientsbank,True
0,0.5850680615680616,0.8042117776403489,0.8693854875283447,0.727527588813303,0.6792894935752077,0.8804542705971277,bert-base,beetle,False
1,0.620431869717584,0.6240724606081749,0.831420634920635,0.6889531724888869,0.6337835682835683,0.8151394557823128,distilbert-base-squad2,beetle,False
2,0.5490922490208204,0.7316545729402874,0.841005291005291,0.7310196523053666,0.7928359788359788,0.8280699168556312,albert-large,beetle,False
3,0.6427592592592593,0.7919947089947089,0.8688563869992441,0.8362471655328797,0.8182683295540438,0.8440661375661375,distilroberta,beetle,False
4,0.5306625966625966,0.7577921390778534,0.8444973544973545,0.8428950731807875,0.7320124716553288,0.8373900226757369,bert-base-squad2,beetle,False
5,0.7001973661259376,0.7188548752834466,0.8611050642479213,0.7370294784580498,0.7608968253968253,0.7990468631897203,distilroberta-base-squad2,beetle,False
