,IntegratedGradients_L2,IntegratedGradients_L1,IntegratedGradients_sum,InputXGradient_L2,InputXGradient_L1,InputXGradient_sum,Saliency_L2,Saliency_L1,Saliency_sum,GradientShap_L2,GradientShap_L1,GradientShap_sum,Occlusion_L2,Occlusion_L1,Occlusion_sum,model,run_id,source,token_types
0,0.012038651475864833,0.015155821041077136,-0.13353603429467917,-0.05555917583164906,-0.05448302227435939,-0.1478005619466232,-0.03124029971465553,-0.029876939482187528,-0.1763280554701271,-0.01513963219168656,-0.0030220244797480003,-0.13944499357330292,-0.08137478661080497,-0.08137478661080497,-0.10582127960596778,bert-base,3dbwtw65,scientsbank,True
1,-0.07608230175332159,-0.06410588371039189,-0.15340374002575033,-0.03559851854062507,-0.02909816874698575,-0.13659713339774104,-0.028568830128436154,-0.02640049717724586,-0.13255875178575724,-0.05018453185490916,-0.035034199022032496,-0.14771785049950356,-0.13214647696832038,-0.13214651510743214,-0.16291995693889907,roberta-base-squad2,12y3pqyr,scientsbank,True
2,-0.02236658800060845,-0.015208009312760243,-0.18786987676861444,-0.11507560678567429,-0.11564401326354051,-0.1775154145668633,-0.09544928635778589,-0.09527410501104701,-0.2009389101498851,-0.05319896114117936,-0.03868338738735408,-0.1841905872654624,-0.13405218372633976,-0.13405218372633976,-0.15626705822697542,bert-base-squad2,duz1lf4b,scientsbank,True
3,0.041668804212569,0.04432628064393685,-0.14976448064281359,-0.09785281807085154,-0.09624263831357485,-0.16250775376318993,-0.07989747434772776,-0.08000334217800653,-0.1463231231777535,0.0203803341653862,0.028106653363509444,-0.14511848796297036,-0.14914822390378973,-0.14914829779988595,-0.1764167569401678,bert-large,e2kip6d2,scientsbank,True
4,-0.012384172132296773,-0.007403574537655133,-0.0646130922612076,-0.04718149861038873,-0.04221564939898321,-0.04338482892011682,-0.044083496794785654,-0.039986153925209954,-0.0631099323033375,0.001023517025687439,-0.002727178974341785,-0.026301108156982115,-0.1014434181241265,-0.1014434181241265,-0.11090110477814863,albert-base,1x1id93e,scientsbank,True
5,-0.11408998153173275,-0.10405388127761156,-0.16301204458277538,-0.1503171209359441,-0.15263142335728885,-0.17375943008131917,-0.1515448480745717,-0.15177729359252426,-0.1938919574115653,-0.1645557425016746,-0.1505923679587654,-0.19647985724509703,-0.16453771282636648,-0.16453771282636648,-0.18638108611232235,roberta-large,3khdojqa,scientsbank,True
6,-0.04238955891449486,-0.028711903038367133,-0.10864113782544861,-0.010126167170755828,-0.00010072101857988306,-0.06896003230227452,-0.01979675830722973,-0.0200233397361482,-0.11274140150166065,-0.04234625123204593,-0.030320828655677347,-0.10388944606409975,-0.07969645398471197,-0.07969645398471197,-0.09948500373829762,distilroberta,j2npaw78,scientsbank,True
7,-0.03764140923257986,-0.030547971219850527,-0.13080490747097054,-0.05524770813653999,-0.04104562204650047,-0.11626779920484732,-0.06095264904508253,-0.060359206678888624,-0.13652898118945683,-0.05295117929336254,-0.040633038752103785,-0.1293395900897819,-0.06668647883255445,-0.06668647883255445,-0.08739338047146938,roberta-base,37jg5vpb,scientsbank,True
8,-0.02218278127224708,-0.020769560344650613,-0.004170124149029692,-0.026195600466736024,-0.027675869557885143,-0.043203378510026556,-0.027861074181652207,-0.028021929884990852,-0.035594828816810864,-0.04057496634466803,-0.03487641779941073,-0.039397098340203635,-0.0620791280892896,-0.06207911530102727,-0.06902282756749929,albert-large,2iq8yc9g,scientsbank,True
9,-0.06365933024653248,-0.05731328159506035,-0.1408633300068411,-0.07135647215909131,-0.038146678072139326,-0.12053085410775012,-0.05593421502567061,-0.05605939288131374,-0.1330291090223729,-0.06678545366385422,-0.05923576309898323,-0.15079676821563243,-0.19749739617874962,-0.19749739617874962,-0.21218651660092103,distilroberta-base-squad2,3p2l1x8q,scientsbank,True
10,0.015051067902191647,0.014660485446668047,-0.047608294145229324,-0.010098342645108727,-0.0034193091758043526,-0.0405172643440902,-0.008384826218255714,-0.00674073505470806,-0.03163959084753938,0.01181243842408944,0.013996029608975174,-0.029231355853620456,-0.046632370242614636,-0.046632370242614636,-0.05407461244830694,albert-base-squad2,37yt6a7b,scientsbank,True
